env,method,run,seed,sample,iteration,component,episode_sum_mean,episode_abs_sum_mean,signed_contribution_share,magnitude_share,active_rate
env_001,DERES,runs/env_001/paper_v4,1.0,,3,landing_bonus,312.2425357282162,312.2425357282162,0.903810025017206,0.903810025017206,0.12763596004439512
env_001,DERES,runs/env_001/paper_v4,1.0,,3,shaped_progress,20.52408064083071,32.86686943171337,0.05940852931578366,0.09513568039035668,0.9982847341337907
env_001,DERES,runs/env_001/paper_v4,1.0,,4,angular_vel_penalty,-0.6877550406228226,0.6877550406228226,-0.014684579672552952,0.014684579672552952,0.9967511371020142
env_001,DERES,runs/env_001/paper_v4,1.0,,4,landing_bonus,20.35960340499878,20.35960340499878,0.4347074185476552,0.4347074185476552,0.008447043534762833
env_001,DERES,runs/env_001/paper_v4,1.0,,4,shaped_progress,24.53460765917771,25.787828938618624,0.5238498878608835,0.5506080017797917,1.0
env_001,DERES,runs/env_001/paper_v4,1.0,,5,angular_vel_penalty,-0.7251482100408432,0.7251482100408432,-0.00020947038653571035,0.00020947038653571035,0.9761266543809684
env_001,DERES,runs/env_001/paper_v4,1.0,,5,landing_bonus,3456.106415939331,3456.106415939331,0.9983503190535138,0.9983503190535138,0.07111744010722064
env_001,DERES,runs/env_001/paper_v4,1.0,,5,shaped_progress,4.35915554408818,4.985745846475571,0.001259210164413156,0.0014402105599505342,0.9962305243759424
env_001,DERES,runs/env_001/paper_v4,1.0,,6,angular_vel_penalty,-0.14384934533863422,0.14384934533863422,-0.024744911341294938,0.024744911341294938,0.99995
env_001,DERES,runs/env_001/paper_v4,1.0,,6,landing_quality,0.0,0.0,0.0,0.0,0.0
env_001,DERES,runs/env_001/paper_v4,1.0,,6,shaped_progress,4.607872144774816,5.669440642028375,0.7926444672101831,0.975255088658705,1.0
env_001,DERES,runs/env_001/paper_v4,1.0,,7,angular_vel_penalty,-2.1445770715076997,2.1445770715076997,-0.005392147556880812,0.005392147556880812,0.971954502040462
env_001,DERES,runs/env_001/paper_v4,1.0,,7,landing_bonus,390.2871540904045,390.2871540904045,0.9813058026079824,0.9813058026079824,0.06295042111661023
env_001,DERES,runs/env_001/paper_v4,1.0,,7,shaped_progress,3.4940419925729964,5.290521221750338,0.008785130758040842,0.013302049835136808,0.9923591212989494
env_001,DERES,runs/env_001/paper_v4,1.0,,8,angular_vel_penalty,-0.6748643083368143,0.6748643083368143,-0.0878237229011444,0.0878237229011444,0.9954218443427076
env_001,DERES,runs/env_001/paper_v4,1.0,,8,landing_bonus,1.4990090072154998,1.4990090072154998,0.1950741060828333,0.1950741060828333,0.010464355788096796
env_001,DERES,runs/env_001/paper_v4,1.0,,8,shaped_progress,5.25843882537406,5.510432086718675,0.6843089323102647,0.7171021710160222,0.999345977763244
env_001,DERES,runs/env_001/paper_v4,1.0,,9,angular_vel_penalty,-0.29753862545204546,0.29753862545204546,-0.00033118754854157044,0.00033118754854157044,0.791324200913242
env_001,DERES,runs/env_001/paper_v4,1.0,,9,landing_quality,892.8119677469134,892.8119677469134,0.9937809131753625,0.9937809131753625,1.0
env_001,DERES,runs/env_001/paper_v4,1.0,,9,shaped_progress,4.446378450275559,5.289683942298837,0.004949223572561564,0.005887899276095881,0.9987823439878234
env_001,DERES,runs/env_001/paper_v4,1.0,,10,angular_vel_penalty,-0.46128301151931167,0.46128301151931167,-0.0034907937268613743,0.0034907937268613743,0.9403141361256544
env_001,DERES,runs/env_001/paper_v4,1.0,,10,landing_quality_improvement,84.71662639379501,126.61854853332042,0.641099413139644,0.9581953462118842,0.9775617053103964
env_001,DERES,runs/env_001/paper_v4,1.0,,10,shaped_progress,4.677420303469246,5.062898049801264,0.035396728354390956,0.038313860061254465,0.9554225878833209
env_001,DERES,runs/env_001/paper_v4,2.0,,1,contact_completion,0.0,0.0,0.0,0.0,0.0
env_001,DERES,runs/env_001/paper_v4,2.0,,1,position_proximity,749.3110796958208,749.3110796958208,0.997267884723491,0.997267884723491,1.0
env_001,DERES,runs/env_001/paper_v4,2.0,,1,soft_landing_velocity,-0.3324309039171197,0.3324309039171197,-0.00044243662391956634,0.00044243662391956634,1.0
env_001,DERES,runs/env_001/paper_v4,2.0,,1,stable_orientation,-1.7203818649027451,1.7203818649027451,-0.002289678652589373,0.002289678652589373,1.0
env_001,DERES,runs/env_001/paper_v4,2.0,,2,contact_completion,724.455653500557,724.455653500557,0.6577500843208958,0.6577500843208958,1.0
env_001,DERES,runs/env_001/paper_v4,2.0,,2,position_proximity,375.5312941908836,375.5312941908836,0.34095356869072857,0.34095356869072857,1.0
env_001,DERES,runs/env_001/paper_v4,2.0,,2,soft_landing_velocity,-0.43667312376627565,0.43667312376627565,-0.0003964656533358338,0.0003964656533358338,0.9721818358049821
env_001,DERES,runs/env_001/paper_v4,2.0,,2,stable_orientation,-0.9911425877235376,0.9911425877235376,-0.0008998813350397665,0.0008998813350397665,1.0
env_001,DERES,runs/env_001/paper_v4,2.0,,3,contact_completion,736.8222148925066,736.8222148925066,0.496474201103967,0.496474201103967,1.0
env_001,DERES,runs/env_001/paper_v4,2.0,,3,position_proximity,745.1554198741912,745.1554198741912,0.5020891529909985,0.5020891529909985,1.0
